CHEMICAL NAME,CASRN,LAST SIGNIFICANT REVISION,IRIS SUMMARY,TOX REVIEW/SUPPORTING DOCUMENT,LITERATURE SCREENING REVIEW,CRITICAL EFFECT SYSTEMS,TUMOR SITE,PESTICIDE,ARCHIVE,NONCANCER ASSESSMENT TYPE,SYSTEM (RfD),RfD (mg/kg-day),BASIS (RfD),PoD (RfD),COMPOSITE UF (RfD),CONFIDENCE (RfD),SYSTEM (RfC),RfC (mg/m^3),BASIS (RfC),PoD (RfC),COMPOSITE UF (RfC),CONFIDENCE (RfC),WOE CHARACTERIZATION,FRAMEWORK FOR WOE CHARACTERIZATION,WOE BASIS,QUANT. EST. OF CARC. RISK FROM ORAL EXPOSURE,QUANT. EST. OF CARC. RISK FROM INHALATION EXPOSURE
Hexabromodiphenyl ether,36483-60-0,Aug-01-1990,"(PDF 6 pp, 82 K)",Not Available,Yes,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",No human data and no animal data available. This may be a synopsis of the full weight-of-evidence narrative.,,
Hexachlorobenzene,118-74-1,Mar-01-1991,"(PDF 16 pp, 129 K)",Not Available,Yes,Hepatic,Hepatic,,,Oral,Hepatic,8 x 10 -4,Liver effects,NOAEL: 8 x 10-2 mg/kg-day,100,Medium,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Hexachlorobenzene, when administered orally, has been shown to induce tumors in the liver, thyroid and kidney in three rodent species. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 1.6 per mg/kg-day
Drinking Water Unit Risk: 4.6 x 10-5 per µg/L
Extrapolation Method: Linearized multistage, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular carcinoma (Erturk et al., 1986)","Inhalation Unit Risk: 4.6 x 10-4 per µg/m3
Extrapolation Method: Linearized multistage, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular carcinoma (Erturk et al., 1986)"
Hexachlorobutadiene,87-68-3,May-01-1993,"(PDF 9 pp, 100 K)",Not Available,No,None,Urinary,,,,,,,,,,,,,,,,C (Possible human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Observation of renal neoplasms in male and female rats in one study. This may be a synopsis of the full weight-of-evidence narrative.,"Oral Slope Factor: 7.8 x 10-2 per mg/kg-day
Drinking Water Unit Risk: 2.2 x 10-6 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Urinary
Tumor type(s): Renal tubular adenomas and adenocarcinomas (Kociba et al., 1977)","Inhalation Unit Risk: 2.2 x 10-5 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Urinary
Tumor type(s): Renal tubular adenomas and adenocarcinomas (Kociba et al., 1977)"
alpha-Hexachlorocyclohexane (alpha-HCH),319-84-6,Mar-31-1987,"(PDF 10 pp, 104 K)",Not Available,Yes,None,Hepatic,,,,,,,,,,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Dietary alpha-HCH has been shown to cause increased incidence of liver tumors in five mouse strains and in Wistar rats. This may be a synopsis of the full weight-of-evidence narrative.,"Oral Slope Factor: 6.3 per mg/kg-day
Drinking Water Unit Risk: 1.8 x 10-4 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatic nodules and hepatocellular carcinomas (Ito et al., 1973a)","Inhalation Unit Risk: 1.8 x 10-3 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatic nodules and hepatocellular carcinomas (Ito et al., 1973a)"
beta-Hexachlorocyclohexane (beta-HCH),319-85-7,Sep-30-1987,"(PDF 9 pp, 98 K)",Not Available,Yes,None,Hepatic,,,,,,,,,,,,,,,,C (Possible human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Increases in benign liver tumors in CF1 mice fed beta-HCH This may be a synopsis of the full weight-of-evidence narrative.,"Oral Slope Factor: 1.8 per mg/kg-day
Drinking Water Unit Risk: 5.3 x 10-5 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatic nodules and hepatocellular carcinomas (Thorpe and Walker, 1973)","Inhalation Unit Risk: 5.3 x 10-4 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatic nodules and hepatocellular carcinomas (Thorpe and Walker, 1973)"
delta-Hexachlorocyclohexane (delta-HCH),319-86-8,Mar-31-1987,"(PDF 6 pp, 85 K)",Not Available,Yes,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on no human data and inadequate data from animal bioassays. This may be a synopsis of the full weight-of-evidence narrative.,,
epsilon-Hexachlorocyclohexane (epsilon-HC),6108-10-7,Mar-31-1987,"(PDF 5 pp, 81 K)",Not Available,Yes,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on no human data and inadequate data from animal bioassays. This may be a synopsis of the full weight-of-evidence narrative.,,
gamma-Hexachlorocyclohexane (gamma-HCH),58-89-9,Jan-31-1987,"(PDF 10 pp, 103 K)",Not Available,No,Hepatic; Urinary,None,pesticide,,Oral,Hepatic; Urinary,3 x 10 -4,Liver and kidney toxicity,NOAEL: 3.3 x 10-1 mg/kg-day,1000,Medium,,,,,,,,,,,
technical Hexachlorocyclohexane (t-HCH),608-73-1,Mar-31-1987,"(PDF 9 pp, 101 K)",Not Available,Yes,None,Hepatic,pesticide,,,,,,,,,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Assays in four strains of mice have yielded positive carcinogenicity results for t-HCH administered in the diet. This may be a synopsis of the full weight-of-evidence narrative.,"Oral Slope Factor: 1.8 per mg/kg-day
Drinking Water Unit Risk: 5.1 x 10-5 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Liver nodules and hepatocellular carcinomas (Munir et al., 1983)","Inhalation Unit Risk: 5.1 x 10-4 per µg/m3
Extrapolation Method: Linearized multistage procedure
Tumor site(s): Hepatic
Tumor type(s): Liver nodules and hepatocellular carcinomas (Munir et al., 1983)"
Hexachlorocyclopentadiene (HCCPD),77-47-4,Jul-05-2001,"(PDF 25 pp, 172 K)","(PDF 60 pp, 237 K)",Yes,Gastrointestinal; Respiratory,None,,,Oral,Gastrointestinal,6 x 10 -3,Chronic irritation,BMDL 10: 6 mg/kg-day,1000,Low,,,,,,,E (Evidence of non-carcinogenicity for humans),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","According to the existing Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986a), evaluation of the weight-of-evidence for carcinogenicity to humans indicates that HCCPD is most appropriately categorized as Group E, Evidence of Noncarcinogenicity to Humans, via inhalation exposure. In accordance with U.S. EPA's Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996), HCCPD is not likely to be a human carcinogen by the inhalation route based on current data indicating no evidence of cancer in well-conducted bioassays in two species of rodents; the absence of increased deaths from cancer in the limited human occupational studies available; and lack of mutagenicity in a variety of test systems. This may be a synopsis of the full weight-of-evidence narrative.",,
Hexachlorocyclopentadiene (HCCPD),77-47-4,Jul-05-2001,"(PDF 25 pp, 172 K)","(PDF 60 pp, 237 K)",Yes,Gastrointestinal; Respiratory,None,,,Oral,Gastrointestinal,6 x 10 -3,Chronic irritation,BMDL 10: 6 mg/kg-day,1000,Low,,,,,,,Not likely to be carcinogenic to humans,"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","According to the existing Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986a), evaluation of the weight-of-evidence for carcinogenicity to humans indicates that HCCPD is most appropriately categorized as Group E, Evidence of Noncarcinogenicity to Humans, via inhalation exposure. In accordance with U.S. EPA's Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996), HCCPD is not likely to be a human carcinogen by the inhalation route based on current data indicating no evidence of cancer in well-conducted bioassays in two species of rodents; the absence of increased deaths from cancer in the limited human occupational studies available; and lack of mutagenicity in a variety of test systems. This may be a synopsis of the full weight-of-evidence narrative.",,
Hexachlorocyclopentadiene (HCCPD),77-47-4,Jul-05-2001,"(PDF 25 pp, 172 K)","(PDF 60 pp, 237 K)",Yes,Gastrointestinal; Respiratory,None,,,Inahlation,,,,,,,Respiratory,2 x 10 -4,Suppurative inflammation of the nose,NOAEL (HEC): 2.4 x 10-2 mg/m3,100,Medium,E (Evidence of non-carcinogenicity for humans),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","According to the existing Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986a), evaluation of the weight-of-evidence for carcinogenicity to humans indicates that HCCPD is most appropriately categorized as Group E, Evidence of Noncarcinogenicity to Humans, via inhalation exposure. In accordance with U.S. EPA's Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996), HCCPD is not likely to be a human carcinogen by the inhalation route based on current data indicating no evidence of cancer in well-conducted bioassays in two species of rodents; the absence of increased deaths from cancer in the limited human occupational studies available; and lack of mutagenicity in a variety of test systems. This may be a synopsis of the full weight-of-evidence narrative.",,
Hexachlorocyclopentadiene (HCCPD),77-47-4,Jul-05-2001,"(PDF 25 pp, 172 K)","(PDF 60 pp, 237 K)",Yes,Gastrointestinal; Respiratory,None,,,Inahlation,,,,,,,Respiratory,2 x 10 -4,Suppurative inflammation of the nose,NOAEL (HEC): 2.4 x 10-2 mg/m3,100,Medium,Not likely to be carcinogenic to humans,"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","According to the existing Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986a), evaluation of the weight-of-evidence for carcinogenicity to humans indicates that HCCPD is most appropriately categorized as Group E, Evidence of Noncarcinogenicity to Humans, via inhalation exposure. In accordance with U.S. EPA's Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996), HCCPD is not likely to be a human carcinogen by the inhalation route based on current data indicating no evidence of cancer in well-conducted bioassays in two species of rodents; the absence of increased deaths from cancer in the limited human occupational studies available; and lack of mutagenicity in a variety of test systems. This may be a synopsis of the full weight-of-evidence narrative.",,
"Hexachlorodibenzo-p-dioxin (HxCDD), mixture of 1,2,3,6,7,8-HxCDD and 1,2,3,7,8,9-HxCDD",57653-85-7,Mar-31-1987,"(PDF 10 pp, 102 K)",Not Available,Yes,None,Hepatic,,,,,,,,,,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Hepatic tumors in mice and rats by gavage This may be a synopsis of the full weight-of-evidence narrative.,"Oral Slope Factor: 6.2 x 103 per mg/kg-day
Drinking Water Unit Risk: 1.8 x 10-1 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Liver tumors (adenomas and carcinomas; neoplastic nodules and hepatocellular carcinomas) (NTP, 1980a)","Inhalation Unit Risk: 1.3 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Liver tumors (adenomas and carcinomas; neoplastic nodules and hepatocellular carcinomas) (NTP, 1980a)"
Hexachloroethane,67-72-1,Sep-23-2011,"(PDF 34 pp, 308 K)","(PDF 200 pp, 1.61 M)",Yes,Nervous; Urinary,Urinary,,,Oral,Urinary,7 x 10 -4,Atrophy and degeneration of renal tubules,BMDL 10: 0.728 mg/kg-day,1000,Low/Medium,,,,,,,Likely to be carcinogenic to humans,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the U.S. EPA Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005b), HCE is ""likely to be carcinogenic to humans"" based on evidence of multiple tumor types in both sexes of rats and mice (NTP, 1989 NCI, 1978). This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 4 x 10-2 per mg/kg-day
Drinking Water Unit Risk: 1 x 10-6 per µg/L
Extrapolation Method: The multistage model with linear extrapolation from the point of departure (LED10).
Tumor site(s): Urinary
Tumor type(s): Renal adenomas and carcinomas (combined) (NTP (1989))",
Hexachloroethane,67-72-1,Sep-23-2011,"(PDF 34 pp, 308 K)","(PDF 200 pp, 1.61 M)",Yes,Nervous; Urinary,Urinary,,,Inahlation,,,,,,,Nervous,3 x 10 -2,Neurotoxicity (tremors and ruffled pelt),NOAEL (HEC): 83 mg/m3,3000,Low,Likely to be carcinogenic to humans,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the U.S. EPA Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005b), HCE is ""likely to be carcinogenic to humans"" based on evidence of multiple tumor types in both sexes of rats and mice (NTP, 1989 NCI, 1978). This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 4 x 10-2 per mg/kg-day
Drinking Water Unit Risk: 1 x 10-6 per µg/L
Extrapolation Method: The multistage model with linear extrapolation from the point of departure (LED10).
Tumor site(s): Urinary
Tumor type(s): Renal adenomas and carcinomas (combined) (NTP (1989))",
Hexachlorophene,70-30-4,Aug-22-1988,"(PDF 8 pp, 93 K)",Not Available,Yes,Gastrointestinal; Nervous,None,,,Oral,Nervous; Gastrointestinal,3 x 10 -4,Swollen salivary glands; status spongiosis in brain and optic nerve,LEL: 7.5 x 10-1 mg/kg-day,3000,Medium,,,,,,,,,,,
"Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)",121-82-4,Aug-30-2018,"(PDF 7 pp, 896 K)","(PDF 187 pp, 2.6 M)Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX) Support Documents",No,Nervous; Reproductive; Urinary,Hepatic; Respiratory,,,Oral,Nervous,4 x 10 -3,Convulsions in F344 rats,BMDL05 (HED): 1.3 mg/kg-day,300,Medium,,,,,,,Suggestive evidence of carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under EPA’s Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005), there is suggestive evidence of carcinogenic potential for RDX based on evidence of benign and malignant tumors in the liver and lungs of B6C3F1 mice or F344 rats. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 8 x 10-2 per mg/kg-day
Extrapolation Method: Linear extrapolation from the POD (BMDL10-HED) associated with a 10% extra cancer risk
Tumor site(s): Respiratory, Hepatic
Tumor type(s): Liver (hepatocellular adenomas or carcinomas) and lung (alveolar/bronchiolar adenomas or carcinomas) (Lish et al., 1984)",
"1,6-Hexamethylene diisocyanate",822-06-0,Sep-01-1994,"(PDF 14 pp, 126 K)",Not Available,Yes,Nervous; Respiratory,None,,,Inhalation,,,,,,,Nervous; Respiratory,1 x 10 -5,Degeneration of olfactory epithelium,NOAEL (HEC): 1 x 10-3 mg/m3,100,Medium,,,,,
n-Hexane,110-54-3,Dec-23-2005,"(PDF 28 pp, 188 K)","(PDF 210 pp, 1.4 M)",Yes,Nervous,None,,,Inhalation,,,,,,,Nervous,7 x 10 -1,Peripheral neuropathy (decreased MCV at 12 weeks),BMCL (HEC): 215 mg/m3,300,Medium,Inadequate information to assess carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the emGuidelines for Carcinogen Risk Assessment/em (U.S. EPA, 2005b), there is eminadequate information to assess the carcinogenic potential of n-hexane./em This may be a synopsis of the full weight-of-evidence narrative.",,
2-Hexanone,591-78-6,Sep-25-2009,"(PDF 19 pp, 148 K)","(PDF 136 pp, 964 K)",No,Nervous,None,,,Oral,Nervous,5 x 10 -3,Axonal swelling of the peripheral nerve,BMDL 10: 5 mg/kg-day,1000,Medium,,,,,,,Inadequate information to assess carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005a), the database for 2-hexanone is ""inadequate to assess human carcinogenic potential."" This may be a synopsis of the full weight-of-evidence narrative.",,
2-Hexanone,591-78-6,Sep-25-2009,"(PDF 19 pp, 148 K)","(PDF 136 pp, 964 K)",No,Nervous,None,,,Inahlation,,,,,,,Nervous,3 x 10 -2,Motor conduction velocity of the sciatic-tibial nerve,BMCL 05 (HEC): 90 mg/m3,3000,Low,Inadequate information to assess carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005a), the database for 2-hexanone is ""inadequate to assess human carcinogenic potential."" This may be a synopsis of the full weight-of-evidence narrative.",,
Hexazinone,51235-04-2,Sep-30-1987,"(PDF 7 pp, 87 K)",Not Available,Yes,None,None,pesticide,,Oral,Other,3.3 x 10 -2,Decreased body weight,NOEL: 1.0 x 101 mg/kg-day,300,Medium,,,,,,,,,,,
Hydrazine/Hydrazine sulfate,302-01-2,Sep-07-1988,"(PDF 14 pp, 119 K)",Not Available,Yes,None,Hepatic; Respiratory,,,,,,,,,,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Tumors have been induced in mice, rats and hamsters following oral, inhalation or intraperitoneal administration of hydrazine and sulfate. Hydrazine is mutagenic in numerous assays. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 3.0 per mg/kg-day
Drinking Water Unit Risk: 8.5 x 10-5 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatoma (Biancifiori, 1970)","Inhalation Unit Risk: 4.9 x 10-3 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Respiratory
Tumor type(s): Nasal cavity adenoma or adenocarcinoma (MacEwen et al., 1981)"
Hydrogen chloride,7647-01-0,Jul-01-1995,"(PDF 10 pp, 102 K)",Not Available,Yes,Respiratory,None,,,Inhalation,,,,,,,Respiratory,2 x 10 -2,Hyperplasia of nasal mucosa larynx and trachea,LOAEL (HEC): 6.1 mg/m3,300,Low,,,,,
Hydrogen Cyanide and Cyanide Salts,Various,Sep-28-2010,"(PDF 27 pp, 243 K)","(PDF 153 pp, 905 K)",No,Endocrine; Reproductive,None,,,Oral,Reproductive,6 x 10 -4,Decreased cauda epididymis weight in male F344/N rats,BMDL (1SD): 1.9 mg/kg-day,3000,Low/Medium,,,,,,,Inadequate information to assess carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the U.S. EPA (2005a) Guidelines for Carcinogen Risk Assessment, there is ""inadequate information to assess the carcinogenic potential"" of cyanide. This may be a synopsis of the full weight-of-evidence narrative.",,
Hydrogen Cyanide and Cyanide Salts,Various,Sep-28-2010,"(PDF 27 pp, 243 K)","(PDF 153 pp, 905 K)",No,Endocrine; Reproductive,None,,,Inahlation,,,,,,,Endocrine,8 x 10 -4,Thyroid enlargement and altered iodide uptake,LOAEL (ADJ): 2.5 mg/m3,3000,Low/Medium,Inadequate information to assess carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the U.S. EPA (2005a) Guidelines for Carcinogen Risk Assessment, there is ""inadequate information to assess the carcinogenic potential"" of cyanide. This may be a synopsis of the full weight-of-evidence narrative.",,
